,id,name,audience,start,sponsor,end
57,58,Event 58,3961,2026-08-22 18:00:00,Sponsor 4,2026-08-22 18:14:00
58,59,Event 59,4751,2019-07-16 07:00:00,Sponsor 7,2019-07-16 07:14:00
59,60,Event 60,2525,1997-10-01 13:00:00,Sponsor 1,1997-10-01 13:17:00
60,61,Event 61,2244,1995-05-27 04:00:00,Sponsor 1,1995-05-27 04:17:00
61,62,Event 62,4838,2003-07-30 04:00:00,Sponsor 3,2003-07-30 04:49:00
62,63,Event 63,4676,2014-10-11 08:00:00,Sponsor 4,2014-10-11 08:33:00
63,64,Event 64,3888,2000-04-07 08:00:00,Sponsor 11,2000-04-07 08:06:00
64,65,Event 65,4799,2021-11-18 15:00:00,Sponsor 10,2021-11-18 15:39:00
65,66,Event 66,4701,2011-10-15 07:00:00,Sponsor 10,2011-10-15 07:37:00
66,67,Event 67,4900,1992-08-30 19:00:00,Sponsor 9,1992-08-30 19:31:00
67,68,Event 68,4354,1999-01-23 08:00:00,Sponsor 4,1999-01-23 08:37:00
68,69,Event 69,2521,1996-03-13 22:00:00,Sponsor 2,1996-03-13 22:51:00
69,70,Event 70,3726,2027-06-10 13:00:00,Sponsor 4,2027-06-10 13:49:00
70,71,Event 71,2773,2021-05-18 22:00:00,Sponsor 10,2021-05-18 22:18:00
71,72,Event 72,3460,2017-09-30 03:00:00,Sponsor 8,2017-09-30 03:26:00
72,73,Event 73,2577,2000-01-26 17:00:00,Sponsor 6,2000-01-26 17:07:00
73,74,Event 74,3252,2012-09-01 18:00:00,Sponsor 11,2012-09-01 18:49:00
74,75,Event 75,2004,1995-03-02 06:00:00,Sponsor 4,1995-03-02 06:41:00
75,76,Event 76,1937,2001-07-27 13:00:00,Sponsor 2,2001-07-27 15:00:00
76,77,Event 77,4911,1992-09-02 03:00:00,Sponsor 8,1992-09-02 03:27:00
77,78,Event 78,4527,2005-02-06 18:00:00,Sponsor 5,2005-02-06 20:00:00
78,79,Event 79,1512,2022-02-25 10:00:00,Sponsor 7,2022-02-25 10:06:00
79,80,Event 80,2238,2013-08-25 07:00:00,Sponsor 8,2013-08-25 07:36:00
80,81,Event 81,24,2001-06-21 17:00:00,Sponsor 6,2001-06-21 17:42:00
81,82,Event 82,2684,2003-11-30 21:00:00,Sponsor 4,2003-11-30 21:29:00
82,83,Event 83,3409,2014-01-30 12:00:00,Sponsor 10,2014-01-30 12:39:00
83,84,Event 84,258,2018-09-11 12:00:00,Sponsor 10,2018-09-11 12:18:00
84,85,Event 85,1017,2028-02-26 11:00:00,Sponsor 9,2028-02-26 11:35:00
85,86,Event 86,4228,2005-06-15 12:00:00,Sponsor 1,2005-06-15 12:34:00
86,87,Event 87,2975,2019-05-05 21:00:00,Sponsor 8,2019-05-05 21:52:00
87,88,Event 88,1214,2012-04-27 01:00:00,Sponsor 10,2012-04-27 01:54:00
88,89,Event 89,4709,2029-06-09 08:00:00,Sponsor 10,2029-06-09 08:30:00
89,90,Event 90,2401,2001-11-15 14:00:00,Sponsor 1,2001-11-15 14:40:00
90,91,Event 91,553,2005-01-13 17:00:00,Sponsor 3,2005-01-13 19:00:00
91,92,Event 92,3472,2005-12-01 14:00:00,Sponsor 7,2005-12-01 14:53:00
92,93,Event 93,2504,2007-08-08 01:00:00,Sponsor 4,2007-08-08 01:44:00
93,94,Event 94,302,1996-11-13 09:00:00,Sponsor 2,1996-11-13 09:10:00
94,95,Event 95,822,1995-12-09 21:00:00,Sponsor 5,1995-12-09 21:39:00
95,96,Event 96,1144,2008-03-24 00:00:00,Sponsor 7,2008-03-24 00:26:00
96,97,Event 97,3523,1996-09-21 05:00:00,Sponsor 6,1996-09-21 05:15:00
97,98,Event 98,2292,2006-07-15 04:00:00,Sponsor 6,2006-07-15 04:20:00
98,99,Event 99,53,1994-12-28 05:00:00,Sponsor 6,1994-12-28 07:00:00
99,100,Event 100,2384,2000-03-03 09:00:00,Sponsor 9,2000-03-03 09:24:00
100,101,Event 101,3662,1996-12-12 09:00:00,Sponsor 5,1996-12-12 09:10:00
101,102,Event 102,1950,2029-02-01 01:00:00,Sponsor 9,2029-02-01 01:12:00
102,103,Event 103,713,1994-06-28 08:00:00,Sponsor 5,1994-06-28 08:16:00
103,104,Event 104,2926,1995-05-22 09:00:00,Sponsor 10,1995-05-22 09:13:00
104,105,Event 105,2470,2030-07-03 06:00:00,Sponsor 7,2030-07-03 06:25:00
105,106,Event 106,4133,2025-09-29 08:00:00,Sponsor 5,2025-09-29 08:14:00
106,107,Event 107,1309,2005-11-24 15:00:00,Sponsor 10,2005-11-24 17:00:00
107,108,Event 108,4785,2029-11-29 06:00:00,Sponsor 1,2029-11-29 08:00:00
108,109,Event 109,4015,1993-04-23 09:00:00,Sponsor 5,1993-04-23 09:39:00
109,110,Event 110,1770,2023-12-24 13:00:00,Sponsor 11,2023-12-24 13:34:00
110,111,Event 111,4533,2008-05-05 20:00:00,Sponsor 3,2008-05-05 20:45:00
111,112,Event 112,3044,1998-01-21 11:00:00,Sponsor 4,1998-01-21 11:32:00
112,113,Event 113,2822,2009-07-23 16:00:00,Sponsor 4,2009-07-23 16:43:00
113,114,Event 114,3033,2015-10-09 03:00:00,Sponsor 10,2015-10-09 03:50:00
114,115,Event 115,1563,1997-07-29 05:00:00,Sponsor 1,1997-07-29 05:25:00
115,116,Event 116,3277,2015-06-25 21:00:00,Sponsor 7,2015-06-25 21:43:00
116,117,Event 117,3715,2027-03-21 22:00:00,Sponsor 3,2027-03-22 00:00:00
117,118,Event 118,3501,2022-09-20 06:00:00,Sponsor 2,2022-09-20 06:34:00
118,119,Event 119,4192,1996-08-24 22:00:00,Sponsor 3,1996-08-24 22:30:00
119,120,Event 120,2726,2029-03-09 20:00:00,Sponsor 2,2029-03-09 20:49:00
120,121,Event 121,2746,2028-03-08 13:00:00,Sponsor 1,2028-03-08 13:46:00
121,122,Event 122,220,2008-07-01 18:00:00,Sponsor 1,2008-07-01 18:27:00
122,123,Event 123,1235,2009-11-20 04:00:00,Sponsor 9,2009-11-20 04:38:00
123,124,Event 124,958,2002-10-19 05:00:00,Sponsor 9,2002-10-19 05:51:00
124,125,Event 125,994,2024-09-23 05:00:00,Sponsor 7,2024-09-23 05:50:00
125,126,Event 126,235,2009-06-02 15:00:00,Sponsor 10,2009-06-02 15:12:00
126,127,Event 127,3387,2025-03-15 16:00:00,Sponsor 10,2025-03-15 18:00:00
127,128,Event 128,2376,1996-09-19 18:00:00,Sponsor 9,1996-09-19 18:51:00
128,129,Event 129,3476,1993-12-31 13:00:00,Sponsor 9,1993-12-31 13:31:00
129,130,Event 130,1064,2027-10-16 13:00:00,Sponsor 7,2027-10-16 13:11:00
130,131,Event 131,531,1997-08-06 17:00:00,Sponsor 8,1997-08-06 17:27:00
131,132,Event 132,2699,1994-07-05 02:00:00,Sponsor 10,1994-07-05 02:08:00
132,133,Event 133,1766,2009-10-22 07:00:00,Sponsor 4,2009-10-22 07:19:00
133,134,Event 134,4059,2025-09-17 03:00:00,Sponsor 8,2025-09-17 03:14:00
134,135,Event 135,1040,2015-03-26 10:00:00,Sponsor 4,2015-03-26 10:53:00
135,136,Event 136,2012,2021-01-21 22:00:00,Sponsor 11,2021-01-21 22:55:00
136,137,Event 137,4197,2000-07-28 19:00:00,Sponsor 9,2000-07-28 19:17:00
137,138,Event 138,486,2015-06-14 20:00:00,Sponsor 4,2015-06-14 20:38:00
138,139,Event 139,828,2009-11-23 02:00:00,Sponsor 7,2009-11-23 02:41:00
139,140,Event 140,920,1993-11-03 22:00:00,Sponsor 10,1993-11-03 22:31:00
140,141,Event 141,1766,2024-01-13 09:00:00,Sponsor 5,2024-01-13 11:00:00
141,142,Event 142,4437,2030-08-01 21:00:00,Sponsor 8,2030-08-01 21:08:00
142,143,Event 143,4573,2024-12-24 19:00:00,Sponsor 1,2024-12-24 21:00:00
143,144,Event 144,3056,2025-11-04 15:00:00,Sponsor 8,2025-11-04 17:00:00
144,145,Event 145,4730,1995-05-08 17:00:00,Sponsor 11,1995-05-08 17:42:00
145,146,Event 146,747,2022-10-15 02:00:00,Sponsor 10,2022-10-15 02:28:00
146,147,Event 147,1333,2000-02-17 09:00:00,Sponsor 3,2000-02-17 09:25:00
147,148,Event 148,2706,2030-05-26 13:00:00,Sponsor 3,2030-05-26 13:51:00
148,149,Event 149,3527,2008-04-23 21:00:00,Sponsor 2,2008-04-23 21:18:00
149,150,Event 150,2967,2018-06-19 07:00:00,Sponsor 10,2018-06-19 09:00:00
150,151,Event 151,69,2012-02-07 19:00:00,Sponsor 10,2012-02-07 19:44:00
151,152,Event 152,146,2017-09-14 22:00:00,Sponsor 9,2017-09-14 22:36:00
152,153,Event 153,317,1993-03-08 11:00:00,Sponsor 5,1993-03-08 11:16:00
153,154,Event 154,3756,2021-04-07 17:00:00,Sponsor 9,2021-04-07 17:52:00
154,155,Event 155,3540,2024-10-09 01:00:00,Sponsor 7,2024-10-09 01:30:00
155,156,Event 156,734,2020-07-22 15:00:00,Sponsor 7,2020-07-22 15:11:00
156,157,Event 157,1676,2013-05-25 19:00:00,Sponsor 8,2013-05-25 19:47:00
157,158,Event 158,1741,2002-06-08 09:00:00,Sponsor 9,2002-06-08 09:43:00
158,159,Event 159,841,2024-10-15 13:00:00,Sponsor 9,2024-10-15 13:50:00
159,160,Event 160,1450,2001-10-03 14:00:00,Sponsor 7,2001-10-03 14:35:00
160,161,Event 161,3342,2019-08-01 08:00:00,Sponsor 5,2019-08-01 08:50:00
161,162,Event 162,4966,1993-02-07 07:00:00,Sponsor 6,1993-02-07 09:00:00
162,163,Event 163,2894,2004-02-23 14:00:00,Sponsor 2,2004-02-23 14:19:00
163,164,Event 164,2914,1998-08-14 13:00:00,Sponsor 3,1998-08-14 13:07:00
164,165,Event 165,4317,1995-03-04 02:00:00,Sponsor 2,1995-03-04 02:28:00
165,166,Event 166,1763,1999-03-28 10:00:00,Sponsor 1,1999-03-28 10:42:00
166,167,Event 167,1304,2000-11-24 17:00:00,Sponsor 5,2000-11-24 17:27:00
167,168,Event 168,4677,2002-04-26 17:00:00,Sponsor 9,2002-04-26 17:27:00
168,169,Event 169,2527,2014-05-05 10:00:00,Sponsor 8,2014-05-05 10:20:00
169,170,Event 170,3897,2017-07-27 09:00:00,Sponsor 6,2017-07-27 09:30:00
170,171,Event 171,1615,2023-11-21 09:00:00,Sponsor 11,2023-11-21 09:25:00
171,172,Event 172,3871,2010-06-22 14:00:00,Sponsor 10,2010-06-22 14:30:00
172,173,Event 173,3757,2025-01-01 19:00:00,Sponsor 3,2025-01-01 19:15:00
173,174,Event 174,2450,2030-08-14 07:00:00,Sponsor 6,2030-08-14 09:00:00
174,175,Event 175,662,2003-03-21 07:00:00,Sponsor 2,2003-03-21 07:24:00
175,176,Event 176,1902,2002-09-03 14:00:00,Sponsor 6,2002-09-03 14:21:00
176,177,Event 177,4574,2019-01-24 00:00:00,Sponsor 6,2019-01-24 00:36:00
177,178,Event 178,317,2007-04-16 15:00:00,Sponsor 8,2007-04-16 15:54:00
178,179,Event 179,4488,2027-01-24 12:00:00,Sponsor 5,2027-01-24 12:24:00
179,180,Event 180,3559,1993-09-29 08:00:00,Sponsor 7,1993-09-29 08:43:00
180,181,Event 181,113,1995-06-14 08:00:00,Sponsor 5,1995-06-14 10:00:00
181,182,Event 182,4461,2002-06-25 13:00:00,Sponsor 5,2002-06-25 13:42:00
182,183,Event 183,3535,1996-05-18 19:00:00,Sponsor 11,1996-05-18 19:19:00
183,184,Event 184,3552,2018-10-16 06:00:00,Sponsor 9,2018-10-16 06:18:00
184,185,Event 185,24,2003-12-05 23:00:00,Sponsor 5,2003-12-05 23:25:00
185,186,Event 186,1338,2000-07-30 04:00:00,Sponsor 6,2000-07-30 04:21:00
186,187,Event 187,4198,1994-09-29 05:00:00,Sponsor 1,1994-09-29 05:19:00
187,188,Event 188,604,1998-09-06 07:00:00,Sponsor 6,1998-09-06 07:13:00
188,189,Event 189,1644,2004-05-07 08:00:00,Sponsor 3,2004-05-07 08:39:00
189,190,Event 190,915,2021-12-31 01:00:00,Sponsor 6,2021-12-31 01:32:00
190,191,Event 191,105,2010-10-12 20:00:00,Sponsor 2,2010-10-12 20:44:00
191,192,Event 192,2668,2015-07-07 19:00:00,Sponsor 9,2015-07-07 19:26:00
192,193,Event 193,4939,1998-02-25 07:00:00,Sponsor 11,1998-02-25 07:51:00
193,194,Event 194,2325,2008-04-27 08:00:00,Sponsor 3,2008-04-27 08:53:00
194,195,Event 195,417,1993-10-03 04:00:00,Sponsor 2,1993-10-03 04:48:00
195,196,Event 196,296,2029-01-27 19:00:00,Sponsor 2,2029-01-27 19:07:00
196,197,Event 197,2859,1993-08-23 19:00:00,Sponsor 2,1993-08-23 19:51:00
197,198,Event 198,1731,2027-06-03 13:00:00,Sponsor 4,2027-06-03 13:52:00
198,199,Event 199,4375,2005-01-29 15:00:00,Sponsor 3,2005-01-29 15:18:00
199,200,Event 200,3211,2014-01-24 17:00:00,Sponsor 4,2014-01-24 17:16:00
200,201,Event 201,3532,2001-12-13 20:00:00,Sponsor 4,2001-12-13 20:30:00
201,202,Event 202,2615,1992-04-20 17:00:00,Sponsor 2,1992-04-20 17:50:00
202,203,Event 203,3592,2010-07-21 01:00:00,Sponsor 9,2010-07-21 01:18:00
203,204,Event 204,1542,2019-05-23 18:00:00,Sponsor 7,2019-05-23 18:17:00
204,205,Event 205,3385,2021-12-11 03:00:00,Sponsor 2,2021-12-11 05:00:00
205,206,Event 206,3359,2030-09-09 03:00:00,Sponsor 2,2030-09-09 03:36:00
206,207,Event 207,4255,2026-01-21 10:00:00,Sponsor 10,2026-01-21 10:09:00
207,208,Event 208,3633,2015-12-03 14:00:00,Sponsor 2,2015-12-03 14:30:00
208,209,Event 209,2411,1997-08-05 19:00:00,Sponsor 5,1997-08-05 19:06:00
209,210,Event 210,3318,2019-01-17 02:00:00,Sponsor 4,2019-01-17 02:28:00
210,211,Event 211,1180,2014-01-21 07:00:00,Sponsor 8,2014-01-21 07:07:00
211,212,Event 212,2187,2015-01-04 15:00:00,Sponsor 4,2015-01-04 15:31:00
212,213,Event 213,1391,1996-01-03 03:00:00,Sponsor 8,1996-01-03 05:00:00
213,214,Event 214,1694,2031-10-08 18:00:00,Sponsor 5,2031-10-08 18:54:00
214,215,Event 215,1233,2028-11-09 11:00:00,Sponsor 1,2028-11-09 13:00:00
215,216,Event 216,1770,1995-08-21 12:00:00,Sponsor 3,1995-08-21 12:43:00
216,217,Event 217,877,1999-04-12 09:00:00,Sponsor 9,1999-04-12 09:27:00
217,218,Event 218,2861,2008-12-09 20:00:00,Sponsor 5,2008-12-09 20:52:00
218,219,Event 219,1371,2019-06-08 11:00:00,Sponsor 7,2019-06-08 13:00:00
219,220,Event 220,4139,1994-05-18 08:00:00,Sponsor 5,1994-05-18 10:00:00
220,221,Event 221,3660,2021-10-17 01:00:00,Sponsor 4,2021-10-17 01:37:00
221,222,Event 222,2298,2019-04-05 20:00:00,Sponsor 10,2019-04-05 20:19:00
222,223,Event 223,579,2027-01-07 07:00:00,Sponsor 10,2027-01-07 07:09:00
223,224,Event 224,3929,1992-08-17 09:00:00,Sponsor 7,1992-08-17 09:35:00
224,225,Event 225,1254,2016-06-21 11:00:00,Sponsor 9,2016-06-21 11:19:00
225,226,Event 226,965,2027-10-30 14:00:00,Sponsor 2,2027-10-30 14:09:00
226,227,Event 227,3831,2028-06-10 23:00:00,Sponsor 2,2028-06-11 01:00:00
227,228,Event 228,1154,2020-09-30 12:00:00,Sponsor 11,2020-09-30 12:40:00
228,229,Event 229,433,2010-06-10 13:00:00,Sponsor 6,2010-06-10 13:35:00
229,230,Event 230,4058,2020-03-17 18:00:00,Sponsor 8,2020-03-17 18:48:00
230,231,Event 231,534,2008-08-01 01:00:00,Sponsor 2,2008-08-01 01:40:00
231,232,Event 232,3701,2020-01-14 18:00:00,Sponsor 5,2020-01-14 18:31:00
232,233,Event 233,4138,1996-10-24 10:00:00,Sponsor 3,1996-10-24 10:36:00
233,234,Event 234,2237,2027-04-17 19:00:00,Sponsor 2,2027-04-17 21:00:00
234,235,Event 235,4019,2002-04-24 17:00:00,Sponsor 9,2002-04-24 17:17:00
235,236,Event 236,2139,1998-03-16 07:00:00,Sponsor 10,1998-03-16 07:09:00
236,237,Event 237,259,2014-03-21 15:00:00,Sponsor 7,2014-03-21 15:54:00
237,238,Event 238,4827,2027-09-01 13:00:00,Sponsor 9,2027-09-01 13:23:00
238,239,Event 239,3566,2012-11-17 07:00:00,Sponsor 5,2012-11-17 07:54:00
239,240,Event 240,2244,2026-09-12 04:00:00,Sponsor 3,2026-09-12 04:07:00
240,241,Event 241,3359,2022-08-20 09:00:00,Sponsor 5,2022-08-20 09:55:00
241,242,Event 242,309,2010-06-04 09:00:00,Sponsor 3,2010-06-04 09:54:00
242,243,Event 243,2900,2028-04-08 16:00:00,Sponsor 2,2028-04-08 16:41:00
243,244,Event 244,1989,2030-10-06 18:00:00,Sponsor 5,2030-10-06 18:14:00
244,245,Event 245,3460,2008-02-18 08:00:00,Sponsor 3,2008-02-18 08:11:00
245,246,Event 246,4642,2015-12-07 06:00:00,Sponsor 8,2015-12-07 06:11:00
246,247,Event 247,2644,1999-04-09 17:00:00,Sponsor 10,1999-04-09 17:13:00
247,248,Event 248,4544,2012-10-25 07:00:00,Sponsor 7,2012-10-25 07:15:00
248,249,Event 249,1455,2027-03-20 03:00:00,Sponsor 5,2027-03-20 03:25:00
249,250,Event 250,4392,2013-09-05 01:00:00,Sponsor 6,2013-09-05 01:12:00
250,251,Event 251,4277,1999-03-04 20:00:00,Sponsor 3,1999-03-04 20:34:00
251,252,Event 252,75,2022-07-28 10:00:00,Sponsor 9,2022-07-28 10:15:00
252,253,Event 253,1083,2030-01-23 02:00:00,Sponsor 3,2030-01-23 02:18:00
253,254,Event 254,1045,2013-08-25 05:00:00,Sponsor 4,2013-08-25 05:24:00
254,255,Event 255,1674,2026-08-19 17:00:00,Sponsor 2,2026-08-19 17:41:00
255,256,Event 256,1814,1992-05-04 13:00:00,Sponsor 8,1992-05-04 13:52:00
256,257,Event 257,3981,2008-09-14 12:00:00,Sponsor 3,2008-09-14 12:30:00
257,258,Event 258,74,2021-02-04 07:00:00,Sponsor 3,2021-02-04 07:11:00
258,259,Event 259,1059,2008-10-03 06:00:00,Sponsor 3,2008-10-03 06:32:00
259,260,Event 260,2949,2000-05-17 22:00:00,Sponsor 2,2000-05-17 22:08:00
260,261,Event 261,4832,2002-11-25 16:00:00,Sponsor 7,2002-11-25 16:26:00
261,262,Event 262,1593,2017-12-06 18:00:00,Sponsor 3,2017-12-06 20:00:00
262,263,Event 263,4643,2025-02-18 12:00:00,Sponsor 4,2025-02-18 12:15:00
263,264,Event 264,573,2023-01-14 06:00:00,Sponsor 7,2023-01-14 06:44:00
264,265,Event 265,1074,2023-02-08 13:00:00,Sponsor 4,2023-02-08 13:18:00
265,266,Event 266,1583,2020-08-09 10:00:00,Sponsor 10,2020-08-09 10:37:00
266,267,Event 267,4605,1993-11-01 05:00:00,Sponsor 4,1993-11-01 05:07:00
267,268,Event 268,600,2003-07-27 03:00:00,Sponsor 11,2003-07-27 03:53:00
268,269,Event 269,3088,1999-01-30 04:00:00,Sponsor 5,1999-01-30 04:42:00
269,270,Event 270,4469,1996-12-01 09:00:00,Sponsor 3,1996-12-01 09:49:00
270,271,Event 271,2525,2025-07-19 06:00:00,Sponsor 8,2025-07-19 06:15:00
271,272,Event 272,2902,2006-03-11 13:00:00,Sponsor 10,2006-03-11 15:00:00
272,273,Event 273,292,2030-10-17 00:00:00,Sponsor 7,2030-10-17 00:51:00
273,274,Event 274,4633,2022-03-31 15:00:00,Sponsor 4,2022-03-31 15:35:00
274,275,Event 275,1581,2020-03-01 01:00:00,Sponsor 3,2020-03-01 01:40:00
275,276,Event 276,4253,2006-07-20 12:00:00,Sponsor 8,2006-07-20 12:54:00
276,277,Event 277,1635,2014-07-02 18:00:00,Sponsor 5,2014-07-02 18:11:00
277,278,Event 278,4551,2013-09-30 19:00:00,Sponsor 1,2013-09-30 19:24:00
278,279,Event 279,517,2010-05-05 03:00:00,Sponsor 9,2010-05-05 03:50:00
279,280,Event 280,4774,2003-11-03 11:00:00,Sponsor 2,2003-11-03 11:40:00
280,281,Event 281,4158,2029-12-23 08:00:00,Sponsor 8,2029-12-23 10:00:00
281,282,Event 282,898,1994-03-21 09:00:00,Sponsor 2,1994-03-21 09:07:00
282,283,Event 283,3410,1998-01-28 10:00:00,Sponsor 7,1998-01-28 10:50:00
283,284,Event 284,901,2018-07-01 06:00:00,Sponsor 2,2018-07-01 06:07:00
284,285,Event 285,3783,2018-10-05 01:00:00,Sponsor 2,2018-10-05 01:38:00
285,286,Event 286,479,2005-04-16 22:00:00,Sponsor 7,2005-04-16 22:34:00
286,287,Event 287,1684,1999-07-30 04:00:00,Sponsor 8,1999-07-30 04:50:00
287,288,Event 288,3158,1993-03-06 13:00:00,Sponsor 1,1993-03-06 13:43:00
288,289,Event 289,2926,1993-08-17 08:00:00,Sponsor 7,1993-08-17 08:21:00
289,290,Event 290,4826,2019-12-14 05:00:00,Sponsor 4,2019-12-14 05:31:00
290,291,Event 291,681,2009-06-12 14:00:00,Sponsor 2,2009-06-12 14:32:00
291,292,Event 292,1435,1994-07-13 02:00:00,Sponsor 5,1994-07-13 02:08:00
292,293,Event 293,2439,1996-03-24 17:00:00,Sponsor 6,1996-03-24 17:26:00
293,294,Event 294,191,2025-08-04 12:00:00,Sponsor 3,2025-08-04 12:44:00
294,295,Event 295,3796,2008-10-23 00:00:00,Sponsor 4,2008-10-23 00:34:00
295,296,Event 296,4498,1997-01-20 20:00:00,Sponsor 9,1997-01-20 20:20:00
296,297,Event 297,1603,2022-12-25 17:00:00,Sponsor 6,2022-12-25 17:33:00
297,298,Event 298,989,2029-12-13 09:00:00,Sponsor 9,2029-12-13 09:47:00
298,299,Event 299,3404,2014-05-06 17:00:00,Sponsor 10,2014-05-06 17:12:00
299,300,Event 300,1641,1996-09-18 22:00:00,Sponsor 2,1996-09-18 22:19:00
300,301,Event 301,4064,1999-09-29 16:00:00,Sponsor 4,1999-09-29 16:33:00
301,302,Event 302,835,2029-12-14 22:00:00,Sponsor 5,2029-12-14 22:46:00
302,303,Event 303,1477,2007-06-18 17:00:00,Sponsor 8,2007-06-18 17:38:00
303,304,Event 304,2484,2001-10-23 12:00:00,Sponsor 6,2001-10-23 12:42:00
